"","iso_code","country","date","new_cases","total_cases","imputed","pop2022","region","sub_region"
"147","ABW","Aruba",2022-09-08,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"148","ABW","Aruba",2022-09-09,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"149","ABW","Aruba",2022-09-10,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"150","ABW","Aruba",2022-09-11,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"151","ABW","Aruba",2022-09-12,0,2,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"152","ABW","Aruba",2022-09-13,1,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"153","ABW","Aruba",2022-09-14,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"154","ABW","Aruba",2022-09-15,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"155","ABW","Aruba",2022-09-16,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"156","ABW","Aruba",2022-09-17,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"157","ABW","Aruba",2022-09-18,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"158","ABW","Aruba",2022-09-19,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"159","ABW","Aruba",2022-09-20,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"160","ABW","Aruba",2022-09-21,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"161","ABW","Aruba",2022-09-22,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"162","ABW","Aruba",2022-09-23,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"163","ABW","Aruba",2022-09-24,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"164","ABW","Aruba",2022-09-25,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"165","ABW","Aruba",2022-09-26,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"166","ABW","Aruba",2022-09-27,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"167","ABW","Aruba",2022-09-28,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"168","ABW","Aruba",2022-09-29,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"169","ABW","Aruba",2022-09-30,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"170","ABW","Aruba",2022-10-01,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"171","ABW","Aruba",2022-10-02,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"172","ABW","Aruba",2022-10-03,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"173","ABW","Aruba",2022-10-04,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"174","ABW","Aruba",2022-10-05,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"175","ABW","Aruba",2022-10-06,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"176","ABW","Aruba",2022-10-07,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"177","ABW","Aruba",2022-10-08,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"178","ABW","Aruba",2022-10-09,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"179","ABW","Aruba",2022-10-10,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"180","ABW","Aruba",2022-10-11,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"181","ABW","Aruba",2022-10-12,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
"182","ABW","Aruba",2022-10-13,0,3,3.5871965,106.445,"Americas","Latin America and the Caribbean"
